id;code;ansage;item;announcementfile;klartext;language
1;hub Rustic Sports;program application THX;withdrawal;Peru Representative;firewall;Wyoming Avon
2;XSS Corporate;B2C;Innovative connecting Vermont;salmon;Persistent Illinois Implementation;high-level
3;redundant open-source;withdrawal Wooden Engineer;Fresh Frozen invoice;withdrawal Division fuchsia;Ergonomic Accountability;matrices Islands
4;state Facilitator Bike;attitude-oriented;Rubber Soft;generate;View e-services;District Vermont
5;Customer;Fish;killer Litas;incentivize;synthesize Plastic;Frozen
6;archive Account generating;Direct Plastic;Oregon next-generation Kentucky;wireless reciprocal;Investment Creative;Cambridgeshire
7;Borders Causeway;Concrete communities Global;strategize;ROI;multi-state access Spur;application
8;Investor Assimilated;asynchronous matrices Islands;Computer;multimedia Buckinghamshire teal;Unbranded Gourde Account;black best-of-breed
9;empower program;Branding Rubber Florida;open-source facilitate;Optional;Buckinghamshire synthesize communities;Oval National invoice
10;Soap state navigating;dynamic;Pula;Tuna;protocol Division;User-centric ability Account
