id;code;audio_file;beschreibung;anmerkung;language
1;South deposit payment;initiative;Sleek Interactions Kids;value-added;Avon Planner Idaho
2;capability Analyst;New Salad network;Chief;Associate Mauritius;copying
3;Shoes extensible up;yellow Music web-readiness;e-business;Granite Pound;Centralized Incredible
4;Persistent Officer;radical mobile Supervisor;Account Sausages copy;Falkland matrix Tools;Ranch payment
5;Industrial;Shoes copy web-enabled;portals Wall;Developer;Bhutanese black Borders
6;Electronics Handcrafted;foreground;Books Multi-layered Islands,;knowledge;GB embrace card
7;Product deposit;embrace;yellow;Group transparent Verde;Maine
8;Ergonomic Loan Tuna;Burundi matrices;Gorgeous;Forest Research North;Checking
9;AI Applications Clothing;Tools syndicate;deposit;Gloves platforms invoice;SQL
10;Beauty drive;Pines Chair;bypassing array utilisation;magenta;asynchronous
