id;station_1;station_2;lsa_code;turnout
1;Summit;Indiana Buckinghamshire Bacon;Regional violet Metal;parse RAM hack
2;Technician Front-line Frozen;bluetooth Platinum;program parsing;web-readiness Books quantify
3;Cotton;New IB markets;Soap XML Account;Chair
4;Account Slovenia synthesize;transmit;withdrawal Borders Tasty;Mexico Baby
5;Visionary;multi-byte Accounts;parsing;granular Home Handmade
6;copy;Markets Buckinghamshire;Computer Micronesia;Rial
7;Bike pixel global;Serbia Gambia bypass;Fresh panel line;deposit
8;AGP;Yemeni;Territories Virtual Bedfordshire;Bedfordshire
9;asynchronous B2C Baby;heuristic Tuna synthesizing;mission-critical withdrawal;Turnpike bluetooth Savings
10;Fantastic Movies Buckinghamshire;programming matrix;Salad Alaska;Quality Intelligent
