id;zugnummer;front;seite_1;seite_2;innen;tft;terminal
1;Small;deposit Garden;multi-byte convergence Home;transitional withdrawal;Metal Overpass;Operations Pennsylvania;Rustic
2;Money redundant bus;Birr optical;neural modular Avon;Customer;Pike Bedfordshire SSL;Officer deposit;capacitor
3;Credit convergence Shilling;Licensed Data Product;transition National intelligence;Multi-channelled;Borders;Gourde Wyoming deposit;Realigned Associate
4;Cheese transmit;bluetooth;black;withdrawal mobile;deliver hack;Iowa back;capability
5;e-commerce Viaduct;extend evolve Granite;Cambridgeshire;Right-sized override Loan;Personal;solutions Berkshire Street;Frozen America
6;productivity application;Franc;Refined invoice embrace;tan;Dynamic vertical;Frozen Cambridgeshire Bedfordshire;redundant
7;Regional Saint;synergize Awesome;payment;static;primary;Manager architectures;XSS Inverse
8;programming engineer;Strategist;capacitor Analyst capacitor;Web Korean;customized Investor;USB;Lead
9;Infrastructure;index;deposit bypassing;feed transmitting rich;Data Consultant;silver;Virginia analyzer
10;Communications;matrices Chips Mount;protocol;Computer;conglomeration orchid hybrid;invoice Functionality;Sleek Consultant e-business
