id;code;item;ausgabe_ort;kurz;language;ansagedatei;klartext
1;quantifying Cambridgeshire bi-directional;transparent Architect Coordinator;Plastic;Garden Small;indexing white;Internal;Zealand
2;killer;quantify Avon;Assurance sticky reboot;Toys Norfolk;Berkshire green Practical;pixel invoice;hack
3;Rapids;redundant tan;Bermuda;connect;compress;teal;e-markets
4;Practical;Investment Infrastructure evolve;functionalities;Incredible visualize;driver;Fish Identity;analyzing sensor
5;backing;Practical;Ball Cotton El;Texas;port Wooden;cross-platform;Won Croatian
6;Barbados array invoice;Soft schemas Avon;Computer Cambridgeshire capacitor;invoice;up intuitive matrix;gold best-of-breed Health;Pizza Sheqel open
7;THX Shoes;Licensed programming Gloves;Movies;Practical bandwidth revolutionize;Wyoming;Jewelery clicks-and-mortar Multi-channelled;Tools green wireless
8;projection synthesizing Steel;Music;Bedfordshire e-business;frictionless integrated;port Norfolk;JSON pixel distributed;hierarchy back-end
9;Designer Pizza flexibility;Soft functionalities;Forward Tasty primary;tan;withdrawal;invoice;overriding Books
10;neural invoice Steel;input Auto;deposit USB programming;Chips Shores Manat;Wisconsin GB white;web-enabled;PCI Clothing Peru
