id;code;item;attribute;short_terminal_desc;long_terminal_desc;display_text;ds_003;language
1;Granite;the;Alaska Operative Account;Awesome function ivory;grey Rustic Bike;Connecticut Fish;New wireless;Dynamic bluetooth Keyboard
2;Islands bleeding-edge Zloty;productivity;Handmade;Synergistic redundant;upward-trending;Jersey Account Cheese;application;synergies
3;Fantastic Account Frozen;Borders;Palladium black redundant;Electronics mobile;challenge;mission-critical indigo;applications knowledge Phased;Pants
4;expedite Future;Synchronised Producer Refined;synergize;Steel;algorithm Cotton exploit;azure;cyan;Automotive Soap
5;neural-net Direct PNG;attitude Bedfordshire;capacitor;Indian;Brook e-services Mississippi;Island Synergistic;Up-sized indigo Towels;calculating Division
6;Small Market;benchmark value-added;invoice Land Principal;grey Station;AI help-desk Function-based;Granite;orange;parse Virginia
7;Investor;Coordinator;Salad JSON;Grocery Walk Savings;pink Handmade Chips;Toys;Avon JSON;modular generate Viaduct
8;Research concept generating;Organized;Bacon;XSS Berkshire;Won program Producer;PCI framework Kina;Hat;Lead Toys
9;deposit;actuating programming infrastructure;Creek bypassing SDD;Rustic override Games;Wooden;productize Functionality Cliff;Wooden navigate;Plastic
10;deposit real-time;Berkshire Movies Vermont;Officer Program interface;Croatia Dollar Future;Metal;interactive;Stream value-added conglomeration;Orchestrator
