id;verkehrstage;beschreibung;versionsnummer;mandant;feiertage;gueltigkeit
1;Associate dot-com;fuchsia;deposit;Czech;exuding gold Virginia;open-source bluetooth
2;Avon solution;withdrawal synergize;Money e-services Avon;deposit;matrices Louisiana;system
3;deposit Principal Open-source;payment initiatives Tunisian;Granite real-time;haptic sensor USB;Garden intuitive;Dynamic
4;Gloves website;Garden indexing;withdrawal;Investment Chicken;Towels;Tunisian edge
5;Place bypass Oregon;Total Tuna;purple white;Configuration Executive Markets;Solutions Licensed;Planner Borders
6;International invoice;Cambridgeshire indexing Multi-channelled;Colon indexing;Ball;envisioneer cross-platform IB;Brazil object-oriented
7;bypass content-based;primary;HDD Personal;FTP;Steel migration azure;Steel
8;De-engineered Hawaii Consultant;Sleek Cotton;empower optical;index Pants;Fresh strategic;web
9;connect;Associate quantify payment;Intelligent Fresh;foreground transition;Avon paradigms;Computer
10;Beauty generate;monitor deposit reciprocal;navigate Sleek;Kazakhstan aggregate;extend;quantify Automotive
